" U.S. Citizenship and Immigration Services
District* Form I-485 Applications to Register Permanent Residence or Adjust Status 
Receipts, Approvals and Denials, and Pending 
Fiscal Year: 2013 (through 3rd Quarter) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, I-485 Asylee ,,,, I-485 Refugee ,,,, I-485 Indo Chinese ,,,, I-485 Employment ,,,, I-485 Family ,,,, I-485 Cuban Refugee ,,,, I-485 All Others ,,,, Total I-485s ,,
Fiscal Year, District* , Description , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Completions¹ , Pending 
2013, ANC , ANCHORAGE AK ,0,2,1,22,0,0,2,41,0,0,0,0,0,1,0,8,0,282,22,733,0,0,0,0,0,9,0,20,0,319,824
, ATL , ATLANTA GA ,0,52,18,196,0,58,19,170,0,0,0,13,0,248,60,"2,433",0,"7,801",943,"14,185",0,183,20,722,0,175,25,833,0,"9,602","18,552"
, BAL , BALTIMORE MD ,0,54,5,759,0,6,8,190,0,0,0,0,0,85,23,"1,018",6,"3,733",503,"13,011",0,0,0,77,0,183,28,694,6,"4,628","15,749"
, BOS , BOSTON MA ,0,53,12,308,0,38,20,269,0,1,0,11,0,163,39,963,0,"6,361",712,"19,280",0,19,6,158,0,224,19,962,0,"7,667","21,951"
, BUF , BUFFALO NY ,0,8,0,59,0,51,8,357,0,1,0,0,0,20,5,114,0,854,54,"2,260",0,23,2,125,1,51,1,54,1,"1,078","2,969"
, CHI , CHICAGO IL ,0,18,10,326,0,30,13,556,0,1,0,0,0,172,49,"1,472",0,"6,943",692,"21,276",0,16,2,150,0,229,9,180,0,"8,184","23,960"
, CLE , CLEVELAND OH ,0,21,6,76,0,37,5,146,0,0,0,0,0,30,5,186,0,"1,807",279,"3,108",0,13,1,19,0,45,7,83,0,"2,256","3,618"
, CSC , CALIFORNIA SERVICE CENTER ,0,0,0,0,0,0,0,0,0,0,0,0,961,423,89,"1,373",0,"3,207",169,"1,149",0,"2,709",12,239,0,0,0,0,961,"6,609","2,761"
, DAL , DALLAS TX ,0,15,8,237,0,17,9,350,0,0,0,18,0,96,21,553,0,"5,332",514,"17,400",0,15,4,128,0,122,85,749,0,"6,238","19,435"
, DEN , DENVER CO ,1,11,5,90,0,39,7,211,0,0,0,14,0,83,12,234,0,"3,381",336,"7,244",0,6,1,77,0,156,9,233,1,"4,046","8,103"
, DET , DETROIT MI ,0,11,4,238,0,18,2,224,0,0,0,0,0,102,11,36,0,"2,232",167,"3,383",0,9,1,115,0,71,15,103,0,"2,643","4,099"
, ELP , EL PASO TX ,0,1,0,17,0,3,0,99,0,0,0,0,0,30,1,37,10,"2,196",216,"3,204",0,20,1,71,0,72,5,521,10,"2,545","3,949"
, HEL , HELENA MT ,0,0,1,0,0,8,4,12,0,0,0,0,0,4,0,3,0,409,38,552,0,0,0,2,0,16,0,16,0,480,585
, HHW , HONOLULU HI ,0,4,0,48,0,0,0,0,0,0,0,0,0,13,12,115,0,"1,349",101,"4,322",0,0,0,14,0,19,4,95,0,"1,502","4,594"
, HLG , HARLINGEN TX ,0,2,0,5,0,0,0,0,0,0,0,0,0,6,1,0,0,"1,699",201,"5,730",0,4,1,167,0,138,22,68,0,"2,074","5,970"
, HOU , HOUSTON TX ,0,26,3,123,0,21,7,130,0,1,0,0,0,122,28,412,0,"5,127",626,"9,638",0,56,4,458,0,119,16,383,0,"6,156","11,144"
, KAN , KANSAS CITY MO ,0,17,2,64,0,39,14,105,0,0,0,0,0,68,7,229,0,"1,686",163,"4,326",0,12,5,67,0,45,10,66,0,"2,068","4,857"
, LOS , LOS ANGELES CA ,0,128,24,"1,439",0,18,12,265,0,4,3,68,0,829,178,"2,897",17,"18,934","2,138","47,983",0,29,9,234,0,743,122,"1,515",17,"23,171","54,401"
, MIA , MIAMI FL ,0,138,33,738,0,73,16,524,0,0,0,7,1,261,64,770,1,"14,158","2,216","34,268",0,"2,788",714,"13,687",18,297,123,"1,262",20,"20,881","51,256"
, NBC , NATIONAL BENEFITS CENTER ,2,0,1,0,205,1,0,0,0,0,0,0,0,9,17,0,"74,486","7,615",936,0,"10,282","1,446",67,0,"1,084",9,18,0,"86,059","10,119",0
, NEW , NEWARK NJ ,0,36,5,337,0,10,7,127,0,0,0,0,0,286,75,966,0,"7,451",941,"16,708",0,68,8,527,0,350,66,719,0,"9,303","19,384"
, NOL , NEW ORLEANS LA ,0,29,6,129,0,60,17,334,0,0,0,7,0,58,15,398,0,"3,077",373,"6,166",0,86,19,285,0,106,13,498,0,"3,859","7,817"
, NSC , NEBRASKA SERVICE CENTER ,"4,450","5,143",103,"6,558","14,042","14,120",269,"19,120",0,0,0,0,"9,540","11,134",729,"54,626",0,0,0,0,0,0,1,15,38,55,21,6,"28,070","31,575","80,325"
, NYC , NEW YORK CITY NY ,0,632,75,"2,901",0,10,5,140,0,0,0,0,0,486,135,"2,249",0,"15,626","1,997","48,002",0,39,10,252,0,"1,841",233,"2,218",0,"21,089","55,762"
, OMA , OMAHA NE ,0,6,2,63,0,50,27,246,0,0,0,0,0,22,12,75,0,777,112,"1,780",0,16,2,304,0,41,17,117,0,"1,084","2,585"
, PHI , PHILADELPHIA PA ,0,37,9,221,0,32,10,383,0,1,0,7,0,63,13,449,0,"4,152",413,"7,619",0,19,2,176,0,90,10,227,0,"4,851","9,082"
, PHO , PHOENIX AZ ,1,22,9,91,0,33,32,159,0,0,0,0,0,80,20,400,1,"5,833",779,"10,256",0,120,18,559,0,167,29,305,2,"7,142","11,770"
, POM , PORTLAND ME ,0,8,0,12,0,12,0,68,0,0,0,2,0,5,1,21,0,329,22,953,0,0,0,4,2,7,1,39,2,385,"1,099"
, POO , PORTLAND OR ,0,8,2,57,0,10,13,35,0,0,0,0,0,41,6,88,0,"1,355",126,"2,993",0,9,1,29,0,80,4,138,0,"1,655","3,340"
, SAJ , SAN JUAN PR ,0,1,0,8,0,0,0,6,0,0,0,0,0,7,2,49,0,633,70,"1,151",0,9,8,49,0,7,0,100,0,737,"1,363"
, SEA , SEATTLE WA ,0,31,6,121,0,55,11,73,0,0,0,0,0,98,14,254,0,"3,074",261,"6,305",0,8,0,51,0,213,33,178,0,"3,804","6,982"
, SFR , SAN FRANCISCO CA ,0,156,33,614,0,37,13,101,0,1,1,4,0,322,85,750,1,"10,401",748,"16,899",0,18,1,48,0,291,25,949,1,"12,132","19,365"
, SNA , SAN ANTONIO TX ,0,5,2,19,0,17,2,70,0,0,0,0,0,58,5,62,0,"3,284",229,"5,149",0,39,3,263,0,222,47,111,0,"3,913","5,674"
, SND , SAN DIEGO CA ,0,9,2,50,0,26,0,143,0,0,0,0,0,95,3,335,0,"3,012",217,"5,139",0,7,1,33,0,58,1,228,0,"3,431","5,928"
, SPM , ST. PAUL MN ,0,48,7,126,7,118,54,199,0,0,0,0,0,29,7,116,0,"1,660",230,"3,214",0,0,2,9,0,59,3,339,7,"2,217","4,003"
, TSC , TEXAS SERVICE CENTER ,"8,088","6,693",193,"9,454",0,0,0,0,0,0,0,0,"16,322","17,983","1,259","70,523",0,0,0,0,0,4,0,0,2,26,13,3,"24,412","26,171","79,980"
, WAS , WASHINGTON DC ,0,90,16,104,0,42,13,69,0,0,0,0,0,218,95,"1,125",0,"4,073",664,"11,514",0,34,10,376,5,549,64,454,5,"5,868","13,642"
, VSC , VERMONT SERVICE CENTER ,0,0,0,6,0,0,0,1,0,0,0,0,14,0,2,20,29,0,13,290,0,0,0,24,"5,650","1,266",477,"14,420","5,693","1,758","14,761"
2013 Totals,,,"12,542","13,515",603,"25,616","14,254","15,089",619,"24,923",0,10,4,151,"26,838","33,750","3,100","145,359","74,551","159,843","18,221","357,190","10,282","7,824",936,"19,514","6,800","8,151","1,575","28,886","145,267","263,240","601,639"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please note: The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* When a breakdown by district was not possible, service center or field office information was included instead. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
