"U.S. Citizenship and Immigration Services
Field Offices Form I-485 Applications to Register Permanent Residence or Adjust Status 
Receipts, Completions and Pending 
October 2012, FY2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFFICE,FY,I-485 Asy Receipts,I-485 Asy Approvals,I-485 Asy Denials,I-485 Asy Pending,I-485 Ref Receipts,I-485 Ref Approvals,I-485 Ref Denials,I-485 Ref Pending,I-485 Indo Chin Receipts,I-485 Indo Chin Approvals,I-485 Indo Chin Denials,I-485 Indo Chin Pending,I-485 Employ Receipts,I-485 Employ Approvals,I-485 Employ Denials,I-485 Employ Pending,I-485 Fam Receipts,I-485 Fam Approvals,I-485 Fam Denials,I-485 Fam Pending,I-485 Cuban Receipts,I-485 Cuban Approvals,I-485 Cuban Denials,I-485 Cuban Pending,I-485 Others Receipts,I-485 Others Approvals,I-485 Others Denials,I-485 Others Pending
ABQ,2012,0,0,0,1,0,0,0,8,0,0,0,0,0,2,0,0,63,42,1,376,2,3,0,23,2,5,0,2
AGA,2012,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,41,45,11,269,0,0,0,4,0,0,0,0
ALB,2012,0,0,0,2,0,0,0,12,0,0,0,0,0,2,1,0,60,37,4,316,0,0,0,4,0,2,0,5
ANC,2012,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,39,22,3,136,0,0,0,0,0,1,0,0
ATL,2012,0,4,1,13,1,2,0,11,0,0,0,0,0,20,1,60,675,588,61,3549,38,22,5,211,12,9,2,178
BAL,2012,0,6,1,89,2,0,2,27,0,0,0,0,0,15,1,127,574,370,50,3246,5,0,1,29,8,22,1,108
BOI,2012,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,38,42,1,172,0,0,0,0,0,3,0,0
BOS,2012,0,1,0,1,0,2,2,0,0,0,0,0,0,6,0,33,453,313,31,2562,5,0,0,20,11,4,2,58
BUF,2012,0,2,0,1,0,7,1,35,0,0,0,0,0,0,1,7,85,57,2,380,43,2,1,87,3,3,0,7
CHA,2012,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,13,3,43,0,0,0,0,0,0,0,10
CHI,2012,0,1,1,42,3,1,0,53,0,0,0,0,0,6,2,262,960,651,79,5323,4,1,0,53,15,108,4,31
CHL,2012,0,1,0,11,5,0,0,13,0,0,0,0,0,1,1,6,117,81,8,565,9,2,0,22,1,1,1,10
CHR,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,17,0,0,0,0,0,0,0,1
CHS,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIN,2012,0,0,1,5,0,1,0,2,0,0,0,0,0,2,0,2,69,57,4,281,1,0,0,3,1,0,0,2
CLE,2012,0,1,0,2,0,1,0,10,0,0,0,0,0,3,1,12,117,79,5,469,2,0,0,7,9,4,1,8
CLM,2012,0,1,1,6,0,1,0,5,0,0,0,0,0,1,0,13,89,71,12,400,2,0,0,4,0,1,0,7
CLT,2012,0,1,0,4,0,10,0,18,0,0,0,0,0,1,1,4,194,103,13,1062,13,7,0,54,15,2,0,24
CVC,2012,0,3,0,1,0,2,0,25,0,0,0,0,0,8,0,17,247,189,14,965,2,3,0,10,2,0,0,27
DAL,2012,0,0,0,22,2,1,1,53,0,0,0,2,0,16,4,36,774,612,65,4249,3,0,0,49,7,17,5,56
DEN,2012,0,3,1,10,0,1,2,24,0,0,0,0,0,14,0,24,332,196,43,1593,4,0,1,20,10,5,0,49
DET,2012,0,0,1,10,0,7,0,13,0,0,0,0,0,20,0,20,322,254,20,1169,4,2,1,36,1,4,4,28
DSM,2012,0,0,0,3,2,5,3,7,0,0,0,0,0,0,0,8,54,18,7,329,3,0,0,6,0,4,0,9
DVD,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELP,2012,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,1,257,225,48,963,3,0,0,27,2,2,0,62
FRE,2012,0,4,0,15,0,0,2,9,0,0,0,0,0,2,1,16,215,182,11,1045,1,0,0,3,10,5,0,13
FSA,2012,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,38,30,3,195,0,0,0,1,0,6,0,7
GCU,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRR,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAR,2012,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,33,290,175,22,1809,3,1,0,19,3,2,0,8
HEL,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,1,63,0,0,0,0,0,1,0,0
HHW,2012,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,15,118,139,5,539,3,0,0,5,2,0,0,19
HIA,2012,0,0,0,7,0,6,1,6,0,0,0,0,0,5,0,10,227,123,28,1085,805,140,30,2868,5,0,1,16
HLG,2012,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,252,207,14,1338,1,0,0,23,5,19,1,26
HOU,2012,0,1,0,26,1,2,1,23,0,0,0,0,0,26,8,104,796,643,58,3903,64,6,0,228,5,4,12,73
IMP,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,28,1,144,0,0,0,1,0,0,0,3
INP,2012,0,1,0,8,1,2,0,7,0,0,0,0,0,3,1,24,135,88,18,650,0,1,0,5,3,1,1,12
JAC,2012,0,4,0,3,0,3,1,1,0,0,0,0,0,1,1,16,147,134,10,659,25,1,1,93,3,5,0,15
KAN,2012,0,0,0,5,12,0,1,20,0,0,0,0,0,3,0,12,130,114,8,701,5,2,0,22,8,0,0,18
KND,2012,0,2,0,4,0,0,0,1,0,0,0,0,0,5,1,11,207,286,26,1182,745,167,11,2850,0,1,2,14
